予約番号,実施日,提供会場枝番,明細枝番,予約宴会名称,主会場ｺｰﾄﾞ,ﾊﾟｯｹｰｼﾞ科目ｺｰﾄﾞ,ﾊﾟｯｹｰｼﾞ科目名称,ﾊﾟｯｹｰｼﾞ商品ｺｰﾄﾞ,ﾊﾟｯｹｰｼﾞ商品名称,科目ｺｰﾄﾞ,科目名称,商品ｺｰﾄﾞ,商品名称,単価,数量,請求金額(GROSS),請求金額(NET),請求金額(ｻｰﾋﾞｽ料),請求金額(消費税),割引名称,割引率,割引金額
"29822","2025/04/11","1","2","中央コンサルタンツ株式会社　部長会 ※松→卓盛/準備17:00/本番18:00-20:0","200"," ",""," ","","B01","ご宴会お飲物","0004","飲み放題C(2時間)","2800.0000","66","184800.0000","152728.0000","15272.0000","16800.0000","","0.00","0.0000"
"29822","2025/04/11","1","3","中央コンサルタンツ株式会社　部長会 ※松→卓盛/準備17:00/本番18:00-20:0","200"," ",""," ","","M03","内部オプション(宴会備品)","0001","マイク(ご宴会)","2200.0000","2","0.0000","0.0000","0.0000","0.0000","割引","100.00","4400.0000"
"29822","2025/04/11","1","4","中央コンサルタンツ株式会社　部長会 ※松→卓盛/準備17:00/本番18:00-20:0","200"," ",""," ","","R02","会場料収入(宴会)","0003","松","82300.0000","1","0.0000","0.0000","0.0000","0.0000","割引","100.00","82300.0000"
"29822","2025/04/11","1","5","中央コンサルタンツ株式会社　部長会 ※松→卓盛/準備17:00/本番18:00-20:0","200"," ",""," ","","R02","会場料収入(宴会)","0003","松","37300.0000","1","37300.0000","33910.0000","0.0000","3390.0000","","0.00","0.0000"
"29822","2025/04/11","9999","6","中央コンサルタンツ株式会社　部長会 ※松→卓盛/準備17:00/本番18:00-20:0","200","F09","大皿卓盛料理","0001","大皿卓盛料理"," ",""," ","大皿卓盛料理","7420.0000","66","489720.0000","405636.0000","39600.0000","44484.0000","","0.00","0.0000"
"29822","2025/04/11","1","6","中央コンサルタンツ株式会社　部長会 ※松→卓盛/準備17:00/本番18:00-20:0","200","F09","大皿卓盛料理","0001","大皿卓盛料理","F03","宴会別注・お子様料理・構成用","0009","(和)折衷/立食/プラン構成用","7260.0000","66","479160.0000","396000.0000","39600.0000","43560.0000","","0.00","0.0000"
"29822","2025/04/11","1","6","中央コンサルタンツ株式会社　部長会 ※松→卓盛/準備17:00/本番18:00-20:0","200","F09","大皿卓盛料理","0001","大皿卓盛料理","R02","会場料収入(宴会)","0017","宴会場費(コロナ対策料名称変更)","160.0000","66","10560.0000","9636.0000","0.0000","924.0000","","0.00","0.0000"
"30478","2025/05/24","1","1","愛知志登茂会","250"," ",""," ","","R01","会場料収入","0004","御会議室料金【錦の間】","54900.0000","1","0.0000","0.0000","0.0000","0.0000","割引","100.00","54900.0000"
"30478","2025/05/24","1","2","愛知志登茂会","250"," ",""," ","","R01","会場料収入","0027","御会議室料金【伏見の間】","20400.0000","1","20400.0000","18546.0000","0.0000","1854.0000","","0.00","0.0000"
"30478","2025/05/24","1","3","愛知志登茂会","250"," ",""," ","","R01","会場料収入","0028","御会議室料金【白川の間】","17300.0000","1","17300.0000","15728.0000","0.0000","1572.0000","","0.00","0.0000"
