予約番号,実施日,提供会場枝番,明細枝番,予約宴会名称,主会場ｺｰﾄﾞ,ﾊﾟｯｹｰｼﾞ科目ｺｰﾄﾞ,ﾊﾟｯｹｰｼﾞ科目名称,ﾊﾟｯｹｰｼﾞ商品ｺｰﾄﾞ,ﾊﾟｯｹｰｼﾞ商品名称,科目ｺｰﾄﾞ,科目名称,商品ｺｰﾄﾞ,商品名称,単価,数量,請求金額(GROSS),請求金額(NET),請求金額(ｻｰﾋﾞｽ料),請求金額(消費税),割引名称,割引率,割引金額
"36507","2028/10/19","9999","1","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170","F06","立食ビュッフェ","0011","ご宴会料理(立食ビュッフェ)"," ",""," ","ご宴会料理(立食ビュッフェ)","6210.0000","100","621000.0000","514600.0000","50000.0000","56400.0000","","0.00","0.0000"
"36507","2028/10/19","7","1","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170","F06","立食ビュッフェ","0011","ご宴会料理(立食ビュッフェ)","F03","宴会別注・お子様料理・構成用","0009","(和)折衷/立食/プラン構成用","6050.0000","100","605000.0000","500000.0000","50000.0000","55000.0000","","0.00","0.0000"
"36507","2028/10/19","7","1","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170","F06","立食ビュッフェ","0011","ご宴会料理(立食ビュッフェ)","R02","会場料収入(宴会)","0017","宴会場費(コロナ対策料名称変更)","160.0000","100","16000.0000","14600.0000","0.0000","1400.0000","","0.00","0.0000"
"36507","2028/10/19","7","2","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","B01","ご宴会お飲物","0003","飲み放題B(2時間)","2600.0000","104","270400.0000","223472.0000","22347.0000","24581.0000","","0.00","0.0000"
"36507","2028/10/19","7","3","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","R01","会場料収入","0018","鶴","248100.0000","1","173670.0000","157882.0000","0.0000","15788.0000","割引","30.00","74430.0000"
"36507","2028/10/19","7","4","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","R01","会場料収入","0004","錦","76900.0000","1","53830.0000","48937.0000","0.0000","4893.0000","割引","30.00","23070.0000"
"36507","2028/10/19","7","5","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","R01","会場料収入","0020","紬(1)","109000.0000","1","76300.0000","69364.0000","0.0000","6936.0000","割引","30.00","32700.0000"
"36507","2028/10/19","7","6","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","R01","会場料収入","0021","紬(2)","99300.0000","1","69510.0000","63191.0000","0.0000","6319.0000","割引","30.00","29790.0000"
"36507","2028/10/19","7","7","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","M12","ミスク(食事ミスク)","0001","食事用ペットボトルお茶(500ml)","66.0000","7","462.0000","420.0000","0.0000","42.0000","","0.00","0.0000"
"36507","2028/10/19","7","8","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","F17","食事","0001","割子弁当(和。ｻ込)","1815.0000","7","12705.0000","10500.0000","1050.0000","1155.0000","","0.00","0.0000"
"36507","2028/10/19","7","9","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","M02","内部オプション(会議備品)","0072","ワイヤレスマイク","3300.0000","3","3300.0000","3000.0000","0.0000","300.0000","割引","0.00","6600.0000"
"36507","2028/10/19","7","10","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","M02","内部オプション(会議備品)","0068","会議用ﾃｰﾌﾞﾙｸﾛｽ","330.0000","8","2640.0000","2400.0000","0.0000","240.0000","","0.00","0.0000"
"36507","2028/10/19","7","11","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","B02","会議お飲物","0008","ペットボトルお茶(500ml)","363.0000","120","43560.0000","36000.0000","3600.0000","3960.0000","","0.00","0.0000"
"36507","2028/10/19","7","12","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","M02","内部オプション(会議備品)","0072","ワイヤレスマイク","3300.0000","3","3300.0000","3000.0000","0.0000","300.0000","割引","0.00","6600.0000"
"36507","2028/10/19","7","13","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","M02","内部オプション(会議備品)","0072","ワイヤレスマイク","3300.0000","3","3300.0000","3000.0000","0.0000","300.0000","割引","0.00","6600.0000"
"36507","2028/10/19","7","14","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","M02","内部オプション(会議備品)","0072","ワイヤレスマイク","3300.0000","3","3300.0000","3000.0000","0.0000","300.0000","割引","0.00","6600.0000"
"36507","2028/10/19","7","15","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","R01","会場料収入","0024","楓","96000.0000","1","67200.0000","61091.0000","0.0000","6109.0000","割引","30.00","28800.0000"
"36507","2028/10/19","7","16","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","M02","内部オプション(会議備品)","0072","ワイヤレスマイク","3300.0000","3","3300.0000","3000.0000","0.0000","300.0000","割引","0.00","6600.0000"
"36507","2028/10/19","7","17","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","R02","会場料収入(宴会)","0019","富士(1)","125300.0000","1","62650.0000","56955.0000","0.0000","5695.0000","割引","50.00","62650.0000"
"36507","2028/10/19","7","19","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","B01","ご宴会お飲物","1009","ワイン(ボトル)","3872.0000","4","15488.0000","12800.0000","1280.0000","1408.0000","","0.00","0.0000"
"36507","2028/10/19","7","20","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","M03","内部オプション(宴会備品)","0002","ワイヤレスマイク(ご宴会)","3300.0000","2","6600.0000","6000.0000","0.0000","600.0000","","0.00","0.0000"
"36507","2028/10/19","7","21","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","M03","内部オプション(宴会備品)","0004","司会台(ご宴会)","3300.0000","1","0.0000","0.0000","0.0000","0.0000","割引","100.00","3300.0000"
"36507","2028/10/19","7","22","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","R01","会場料収入","0018","鶴","177200.0000","1","150620.0000","136928.0000","0.0000","13692.0000","割引","15.00","26580.0000"
"36507","2028/10/19","7","23","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","M02","内部オプション(会議備品)","0072","ワイヤレスマイク","3300.0000","3","3300.0000","3000.0000","0.0000","300.0000","割引","0.00","6600.0000"
"36507","2028/10/19","7","24","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","B02","会議お飲物","0007","ミネラルウォーター(500ml)","363.0000","108","39204.0000","32400.0000","3240.0000","3564.0000","","0.00","0.0000"
"36507","2028/10/19","7","25","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","R01","会場料収入","0024","楓","68500.0000","1","54800.0000","49819.0000","0.0000","4981.0000","割引","20.00","13700.0000"
"36507","2028/10/19","7","26","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","M02","内部オプション(会議備品)","0068","会議用ﾃｰﾌﾞﾙｸﾛｽ","330.0000","13","4290.0000","3900.0000","0.0000","390.0000","","0.00","0.0000"
"36507","2028/10/19","7","27","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","M02","内部オプション(会議備品)","0072","ワイヤレスマイク","3300.0000","3","3300.0000","3000.0000","0.0000","300.0000","割引","0.00","6600.0000"
"36507","2028/10/19","7","28","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","F17","食事","0004","松花堂弁当(ｻ込)","2420.0000","25","60500.0000","50000.0000","5000.0000","5500.0000","","0.00","0.0000"
"36507","2028/10/19","7","29","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","M12","ミスク(食事ミスク)","0001","食事用ペットボトルお茶(500ml)","66.0000","25","1650.0000","1500.0000","0.0000","150.0000","","0.00","0.0000"
"36507","2028/10/19","7","30","中部地方保護司連盟【10/19鶴】準備10:30/本番13:30【10/20楓】松花堂入込","170"," ",""," ","","B01","ご宴会お飲物","1012","冷酒(ねのひ)","968.0000","6","5808.0000","4800.0000","480.0000","528.0000","","0.00","0.0000"
