予約番号,予約人数,予約件数,予約宴会名称,会場枝番,会場名称,会場使用日,宴会開始時間,宴会終了時間,行灯名称,会場予約人数,営業担当名称,予約状態ｺｰﾄﾞ,予約状態名称,会場ｺｰﾄﾞ,会場使用目的ｺｰﾄﾞ,会場使用目的名称,会場形式ｺｰﾄﾞ,会場形式名称,ｴｰｼﾞｪﾝﾄｺｰﾄﾞ,エージェン 名称,申込会社 名称,ｴｰｼﾞｪﾝﾄ名称,予約状態備考
"29822","66","1","中央コンサルタンツ株式会社　部長会 ※松→卓盛/準備17:00/本番18:00-20:0","1","松","2025/04/11","18:00","20:00","中央コンサルタンツ株式会社　部長会","66","伊藤　良行","1","決定予約","200","30","懇親会","71","丸卓卓盛","2099","ＪＴＢ名古屋事業部営業３課","","JTB","飲み放題C　受付1F玄関横(17:30-)"
"30477","91","1","愛知志登茂会","1","富士","2025/05/24","17:00","19:30","愛知県志登茂会　愛知志登茂会　懇親会","91","石黒　達也","5","ｷｬﾝｾﾙ","170","30","懇親会","72","丸卓"," ","","愛知志登茂会","","たたみ"
"30478","30","1","愛知志登茂会","4","富士","2025/05/24","17:00","19:30","愛知志登茂会　愛知県志登茂会　懇親会","91","石黒　達也","2","仮予約","170","30","懇親会","72","丸卓"," ","","愛知志登茂会","","富士たたみ　受付-翆松館"
"30478","30","1","愛知志登茂会","2","伏見","2025/05/24","16:00","17:00","愛知県志登茂会　役員会","15","石黒　達也","2","仮予約","370","15","会議"," ",""," ","","愛知志登茂会","","富士たたみ　受付-翆松館"
"30478","30","1","愛知志登茂会","3","白川","2025/05/24","15:30","17:15","愛知県志登茂会　愛知志登茂会　御来賓控室","5","石黒　達也","2","仮予約","380","83","来賓控室"," ",""," ","","愛知志登茂会","","富士たたみ　受付-翆松館"
"30478","30","1","愛知志登茂会","1","錦","2025/05/24","16:30","17:00","愛知志登茂会","30","石黒　達也","2","仮予約","250","15","会議","3","スクール形式"," ","","愛知志登茂会","","富士たたみ　受付-翆松館"
"31040","43","1","奈良県立奈良西養護学校","1","楓","2025/05/21","18:00","19:00","奈良県立奈良西養護学校","43","大木　淳","5","ｷｬﾝｾﾙ","340","1","夕食","26","テーブル","2103","名鉄観光　奈良支店","","名鉄観光","泊あり"
"31437","108","1","神戸市立渚中学校　2025年度修学旅行","1","富士(１)","2025/05/20","18:00","19:00","神戸市立渚中学校　2025年度修学旅行","108","大木　淳","5","ｷｬﾝｾﾙ","180","1","夕食","26","テーブル","2099","ＪＴＢ　神戸支店","","JTB","泊あり"
"31437","108","1","神戸市立渚中学校　2025年度修学旅行","2","錦","2025/05/20","15:00","23:59","神戸市立渚中学校　2025年度修学旅行","108","大木　淳","5","ｷｬﾝｾﾙ","250","97","ﾁｪｯｸｲﾝ･ﾁｪｯｸｱｳﾄ会場","1","フラット","2099","ＪＴＢ　神戸支店","","JTB","泊あり"
"31438","108","1","神戸市立渚中学校　2025年度修学旅行","1","富士(１)","2025/05/21","07:00","08:00","神戸市立渚中学校　2025年度修学旅行","108","大木　淳","5","ｷｬﾝｾﾙ","180","35","朝食","26","テーブル","2099","ＪＴＢ　神戸支店","","JTB",""
